Keywords,Frequency
bar,417
fair,416
frustrated,416
hurting,416
holding,415
jump,414
weed,414
bj,414
constant,413
sunday,413
complaining,412
laying,412
thoughts,412
thanksgiving,411
dammit,411
idk,411
fucker,411
chicken,409
empty,408
dressed,408
lover,408
attracted,407
mistake,407
saturday,406
sign,406
dark,406
mins,406
ways,406
fil,405
lived,404
douche,404
degree,403
positive,403
evil,403
pizza,403
bill,402
dealing,401
light,401
hiding,401
underwear,400
debt,400
pms,399
panties,399
overweight,398
deep,398
worker,397
conversation,396
holiday,395
street,395
helps,395
brat,394
waking,394
shes,394
shave,393
hated,393
junk,393
drinks,393
social,392
haha,392
weekends,391
treated,391
spoiled,390
thin,389
tiny,388
refuses,388
killed,388
unhappy,388
dumbass,388
power,388
disappointed,388
cousin,387
pill,387
youngest,386
add,386
button,386
park,385
bitchy,385
happily,384
dude,384
crappy,384
luck,383
fire,382
advice,382
holidays,382
bite,381
wks,381
loss,380
roll,379
allowed,379
patience,378
avoid,378
situation,377
dropped,377
training,377
anal,376
finished,376
relax,374
hugs,372
posting,372
ignore,372
finger,371
breath,369
shop,369
exercise,369
lesbian,368
rid,368
count,367
return,367
motherhood,366
dance,365
alive,365
shot,364
personal,363
brush,363
accidentally,362
physically,362
negative,361
push,361
lil,361
soul,361
feeding,361
comments,360
paycheck,359
noticed,359
smack,359
teenage,358
toddlers,358
pair,358
freakin,358
disorder,358
adhd,357
pulled,356
yep,356
attack,355
attractive,355
meal,355
accident,352
hanging,351
oops,351
page,351
miles,350
chose,350
pop,350
dds,349
explain,348
evening,347
easter,347
hr,347
financially,346
bus,345
inlaws,344
anger,344
raised,344
arms,344
suicide,344
nursing,343
fingers,342
ridiculous,342
anniversary,342
dry,341
obsessed,340
planned,340
screamed,340
custody,339
loose,339
present,339
male,339
books,338
teenager,338
enjoying,337
bitching,337
id,337
scares,337
wishing,336
iphone,336
pool,335
jesus,335
useless,335
outta,335
safe,334
drank,334
football,333
wakes,333
whiny,333
peed,332
female,332
alot,332
sucked,332
momma,332
human,332
pretending,331
medical,331
lies,331
cheap,330
interested,328
ahead,328
dw,327
ruining,327
meeting,327
mention,327
effing,326
sis,326
kidding,326
doc,326
changing,325
reasons,325
forgive,325
worthless,324
yard,322
sees,322
nails,322
preschool,321
agree,321
makeup,321
mirror,321
group,321
tree,320
rough,320
presents,320
double,320
tight,319
helped,319
halloween,318
experience,317
nanny,317
kicked,317
mommies,316
laughed,316
fwb,315
groceries,315
weigh,315
student,315
cell,315
rich,314
bipolar,314
sending,314
snoring,314
motivation,314
bs,314
regular,314
honest,314
song,314
newborn,313
addiction,313
air,312
struggling,312
pre,311
earth,311
amount,311
grade,311
question,310
invited,310
row,309
decent,309
purpose,308
preg,307
walmart,307
happening,307
road,307
rarely,307
taste,306
nerve,306
follow,306
gorgeous,306
happiness,306
status,305
hs,305
ten,305
career,305
behavior,305
including,304
havent,304
sisters,304
